Order_ID,Order_Date,Customer_Name,Country,Region,Salesperson,Category,Product,Quantity,Unit_Price,Discount,Gross_Sales,Net_Sales,Profit,Payment_Mode,Customer_Rating
ORD000062,2024-07-12,Jason Ross,Canada,North,Jennifer Gonzales,Clothing,Jeans,6,7458,0.14,44748,38483.28,4558.85,Net Banking,5
ORD000063,2025-01-20,Ryan Oliver,India,North,Teresa Kirby,Clothing,Kurta,5,689,0.26,3445,2549.3,147.07,Net Banking,1
ORD000064,2024-04-30,Barry Taylor,India,East,Jorge Smith,Sports,Tennis Racket,7,7054,0.13,49378,42958.86,6887.7,Debit Card,2
ORD000065,2025-03-04,Raymond Booth,India,Central,Cassandra Ferguson,Sports,Football,20,808,0.02,16160,15836.8,3883.95,Debit Card,5
ORD000066,2024-07-14,Ashley Williamson,Australia,Central,Timothy Yates,Furniture,Bed,18,9647,0.21,173646,137180.34,15872.5,Cash,2
ORD000067,2025-07-30,Mark Diaz,Australia,South,Kristi Miller,Furniture,Wardrobe,13,3874,0.02,50362,49354.76,12561.35,Credit Card,1
ORD000068,2023-03-19,Ashley Williams,Canada,North,Jorge Smith,Groceries,Rice,14,1218,0.08,17052,15687.84,3908.05,Debit Card,2
ORD000069,2025-03-07,Elizabeth Davis,USA,Central,Chad Zamora,Furniture,Wardrobe,2,789,0.0,1578,1578.0,110.37,UPI,2
ORD000070,2025-04-09,Cheryl Bush,Australia,Central,Jennifer Barry,Furniture,Bed,16,758,0.06,12128,11400.32,2777.72,Credit Card,1
ORD000071,2023-11-22,Tyler Robertson,Canada,East,Mark Green,Electronics,Mobile,17,165,0.04,2805,2692.8,736.32,Debit Card,1
ORD000072,2025-09-19,Alex Beasley,India,West,Chelsea Ellis,Groceries,Rice,4,790,0.27,3160,2306.8,717.82,Credit Card,4
ORD000073,2024-12-06,Kathleen Cohen,India,West,Chelsea Ellis,Electronics,Laptop,14,7599,0.06,106386,100002.84,16675.19,Debit Card,1
ORD000074,2023-12-10,David Mathis,Australia,North,Elizabeth Campbell,Clothing,Shoes,1,5716,0.09,5716,5201.56,840.3,Credit Card,3
ORD000075,2023-07-01,David Pratt,USA,North,Brandon Hendricks,Sports,Cricket Bat,13,1587,0.1,20631,18567.9,1575.33,Debit Card,1
ORD000076,2023-09-19,Catherine Curry,Canada,West,Mark Green,Groceries,Oil,17,6508,0.15,110636,94040.6,26345.01,Debit Card,1
ORD000077,2025-01-02,Richard Harris,USA,East,Mark Green,Furniture,Table,16,6677,0.27,106832,77987.36,8387.67,Net Banking,1
ORD000078,2025-04-29,Tara Gibson,UK,Central,Phillip Martin,Sports,Dumbbells,13,2765,0.18,35945,29474.9,3808.44,Debit Card,1
ORD000079,2025-06-13,Sarah Myers,India,West,Chelsea Ellis,Groceries,Snacks,4,4145,0.04,16580,15916.8,3043.32,Debit Card,2
ORD000080,2023-05-31,John Stanley,USA,South,Jorge Smith,Furniture,Table,5,3789,0.06,18945,17808.3,5907.09,UPI,1
ORD000081,2024-02-29,Gary Gonzalez,Canada,South,Lauren Jones,Sports,Football,4,2941,0.1,11764,10587.6,2364.47,UPI,4
ORD000082,2023-08-21,Dylan Vaughn,Australia,South,Mark Green,Sports,Tennis Racket,2,4367,0.02,8734,8559.32,2648.05,Debit Card,4
ORD000083,2024-05-27,Whitney Brown,USA,Central,Paul Johnson,Furniture,Table,14,3682,0.12,51548,45362.24,6969.24,UPI,1
ORD000084,2024-02-28,Mr. Kevin Davis PhD,Australia,Central,Kelsey Perez,Sports,Cricket Bat,9,9872,0.01,88848,87959.52,17187.86,Debit Card,1
ORD000085,2023-05-29,Dr. Holly Gonzales,UK,South,Summer Arias,Electronics,Keyboard,6,1928,0.25,11568,8676.0,1558.89,UPI,1
ORD000086,2025-07-02,Gloria Patterson,Canada,Central,Sherry Young,Sports,Yoga Mat,8,4045,0.1,32360,29124.0,8019.07,Debit Card,2
ORD000087,2023-09-16,Tonya Johnson,India,West,Gabrielle Mccullough,Furniture,Sofa,6,3774,0.25,22644,16983.0,1475.04,Cash,1
ORD000088,2025-04-09,Christina Hoover,UK,East,Kelsey Perez,Clothing,Kurta,13,7774,0.17,101062,83881.46,10445.59,UPI,2
ORD000089,2024-02-11,Robert Kelley,Australia,West,Mark Green,Electronics,Mobile,14,210,0.26,2940,2175.6,754.16,Debit Card,1
ORD000090,2025-08-05,Darlene Villanueva,Canada,East,Brandon Hendricks,Sports,Football,16,9864,0.2,157824,126259.2,25151.69,Cash,5
ORD000091,2023-01-05,Robert Coffey,India,East,Christina Becker,Electronics,Monitor,14,2705,0.08,37870,34840.4,5442.6,Cash,1
ORD000092,2023-04-11,Wendy Wallace,USA,East,Brandon Hendricks,Groceries,Bread,10,3642,0.02,36420,35691.6,1929.63,Debit Card,1
ORD000093,2025-07-28,Mrs. Kathleen Lambert,India,South,Kevin Ross,Sports,Tennis Racket,16,4102,0.23,65632,50536.64,8698.24,Net Banking,3
ORD000094,2025-07-04,Brittany Norton,USA,Central,Melissa Ferguson,Sports,Tennis Racket,8,8417,0.13,67336,58582.32,18239.3,Credit Card,3
ORD000095,2024-09-22,Sara Strong,India,West,Summer Arias,Furniture,Table,17,6544,0.12,111248,97898.24,31470.96,Debit Card,3
ORD000096,2025-01-15,Jeanne Walker,USA,South,Susan Jones,Furniture,Wardrobe,11,1072,0.0,11792,11792.0,2839.15,Credit Card,5
ORD000097,2025-01-26,Sean Lynch,USA,South,Teresa Kirby,Clothing,Shoes,5,6277,0.06,31385,29501.9,8974.3,UPI,4
ORD000098,2025-01-12,Jamie Griffin,Canada,East,Julie Lopez,Groceries,Milk,14,969,0.21,13566,10717.14,1285.13,Net Banking,4
ORD000099,2024-06-30,Evan Daniels,Australia,North,Paul Johnson,Electronics,Keyboard,2,3077,0.27,6154,4492.42,810.05,Cash,2
ORD000100,2023-03-08,Debbie Perez,USA,East,Lance Arnold Jr.,Sports,Cricket Bat,14,3003,0.08,42042,38678.64,3519.82,Debit Card,3
ORD000101,2024-02-08,Alejandro Johnson,USA,West,Timothy Yates,Clothing,Jacket,3,5246,0.12,15738,13849.44,4386.0,Net Banking,1
ORD000102,2024-07-04,Craig Phillips,USA,West,Brittany Bailey,Groceries,Oil,7,7414,0.23,51898,39961.46,8795.91,Credit Card,2
ORD000103,2023-04-23,Nicholas Norman,Australia,South,Sydney Kelley,Groceries,Oil,6,9209,0.16,55254,46413.36,7081.28,Credit Card,1
ORD000104,2023-06-11,Jason Stevens,USA,East,Sydney Kelley,Furniture,Sofa,12,667,0.09,8004,7283.64,1269.58,UPI,3
ORD000105,2025-03-11,Marisa Harrison,Australia,North,Julie Lopez,Clothing,Kurta,11,3909,0.27,42999,31389.27,2653.69,UPI,2
ORD000106,2023-02-06,James Freeman,Canada,South,Jessica Hodge,Furniture,Table,20,9374,0.01,187480,185605.2,64403.77,Net Banking,1
ORD000107,2023-07-14,Bryan May,UK,South,Kevin Ross,Furniture,Chair,17,3999,0.25,67983,50987.25,10483.28,Cash,4
ORD000108,2023-10-21,Laura Smith,India,South,Lauren Raymond,Furniture,Table,1,8232,0.22,8232,6420.96,1048.91,Net Banking,5
ORD000109,2023-10-02,Courtney Rangel,Canada,West,Stefanie Garcia,Clothing,Kurta,10,9127,0.25,91270,68452.5,12723.55,Credit Card,3
ORD000110,2024-04-16,Kathleen Jackson,India,North,Lisa Jordan,Electronics,Headphones,14,9566,0.3,133924,93746.8,32310.69,Cash,2
ORD000111,2023-07-10,Keith Mckay,Canada,North,Brandon Hendricks,Sports,Tennis Racket,1,5998,0.2,5998,4798.4,1393.41,Debit Card,3
ORD000112,2023-04-26,Michelle Montoya,India,North,Lauren Raymond,Groceries,Rice,8,9493,0.26,75944,56198.56,9100.27,UPI,2
ORD000113,2023-05-11,Kristen Jackson,Australia,North,Jessica Hodge,Clothing,T-Shirt,12,6755,0.29,81060,57552.6,7133.37,Debit Card,5
ORD000114,2024-12-27,Jesse Spencer,Australia,South,Stefanie Garcia,Sports,Yoga Mat,1,9422,0.23,9422,7254.94,1234.89,UPI,1
ORD000115,2025-02-19,Christine Salas,Canada,North,Teresa Kirby,Sports,Football,15,5843,0.11,87645,78004.05,22250.02,Debit Card,2
ORD000116,2025-09-13,Jonathan Garcia,Australia,South,Susan Jones,Sports,Yoga Mat,14,353,0.02,4942,4843.16,1107.53,Debit Card,5
ORD000117,2023-05-03,James Mcbride,India,Central,Elizabeth Campbell,Sports,Football,12,5922,0.03,71064,68932.08,8745.39,Debit Card,5
ORD000118,2025-03-19,Alexandra Campbell,Canada,West,Jennifer Barry,Clothing,T-Shirt,15,2747,0.12,41205,36260.4,10911.44,Credit Card,4
ORD000119,2024-03-27,Guy Palmer,Canada,Central,Kathleen Colon,Furniture,Wardrobe,9,2556,0.14,23004,19783.44,3545.8,Credit Card,2
ORD000120,2024-06-29,Jessica Floyd,India,East,Katherine Stevenson,Groceries,Snacks,4,7472,0.27,29888,21818.24,7305.54,Debit Card,1
ORD000121,2023-06-18,Shelly Frazier,Australia,North,Sydney Kelley,Clothing,Shoes,10,1992,0.23,19920,15338.4,2391.03,Net Banking,4
ORD000122,2024-09-12,Emily Williams,UK,Central,Mitchell Boyer,Groceries,Bread,16,471,0.23,7536,5802.72,1552.49,Credit Card,5
ORD000123,2023-01-31,Jeremy Huynh,India,West,Stacy Good,Furniture,Chair,11,3468,0.2,38148,30518.4,9875.78,Credit Card,4
ORD000124,2025-04-30,Kimberly Gallagher,Australia,North,Kristi Miller,Sports,Tennis Racket,19,8197,0.16,155743,130824.12,38810.47,UPI,4
ORD000125,2023-06-22,Anna Ross,UK,West,Timothy Yates,Electronics,Keyboard,17,854,0.25,14518,10888.5,2791.11,Net Banking,1
ORD000126,2024-01-09,Joy Brown,Australia,South,Stacy Good,Electronics,Headphones,13,4983,0.05,64779,61540.05,17826.4,Cash,2
ORD000127,2025-01-19,Terry Craig,Australia,South,Cindy Spencer,Electronics,Keyboard,13,3425,0.2,44525,35620.0,4193.03,Debit Card,1
ORD000128,2025-03-20,Frances Chapman,India,Central,Jorge Smith,Clothing,Jacket,8,7335,0.09,58680,53398.8,6839.45,Net Banking,1
ORD000129,2024-04-16,Heidi Morris,India,North,Jennifer Barry,Furniture,Chair,11,2901,0.12,31911,28081.68,9345.66,UPI,1
ORD000130,2024-04-02,Brian Baker,India,South,Chelsea Ellis,Electronics,Headphones,16,6678,0.23,106848,82272.96,13491.64,Net Banking,2
ORD000131,2025-05-20,Brittany Sanford,USA,West,Alexis Lee,Clothing,Shoes,14,4082,0.12,57148,50290.24,11981.13,Credit Card,5
ORD000132,2023-12-11,Katherine Brown,USA,North,Mr. Nathan Hernandez,Clothing,Jeans,15,2884,0.29,43260,30714.6,2827.27,Debit Card,3
ORD000133,2025-08-08,Dawn Collins,UK,West,Phillip Martin,Electronics,Mobile,17,1756,0.02,29852,29254.96,3702.71,Cash,2
ORD000134,2025-07-22,Carrie Anderson,UK,North,Pamela Mckinney,Clothing,Jeans,4,1376,0.22,5504,4293.12,1030.39,Credit Card,5
ORD000135,2024-06-30,Thomas Davis,India,North,Diane Webb,Clothing,Jeans,2,4321,0.18,8642,7086.44,795.94,Cash,3
ORD000136,2025-01-09,Charlene Pugh,India,North,Brittany Bailey,Furniture,Bed,7,7207,0.29,50449,35818.79,3146.58,UPI,4
ORD000137,2024-12-18,Jonathan Hernandez,USA,East,Sara Jones,Furniture,Bed,1,5947,0.29,5947,4222.37,517.87,Credit Card,3
ORD000138,2025-07-08,Jordan Yoder,UK,South,Kevin Kidd,Clothing,Kurta,8,8628,0.09,69024,62811.84,19585.51,UPI,4
ORD000139,2024-09-20,Andrew Johnson,UK,East,Nicole Adkins,Clothing,Kurta,4,3916,0.29,15664,11121.44,2086.02,Debit Card,2
ORD000140,2023-02-23,Courtney Holt,UK,North,Teresa Kirby,Electronics,Keyboard,20,7553,0.25,151060,113295.0,38733.42,Credit Card,1
ORD000141,2024-04-18,Timothy Knight,India,Central,Jamie Griffin,Clothing,Jacket,7,9803,0.05,68621,65189.95,3470.63,Net Banking,5
ORD000142,2025-07-20,Roy Smith,UK,Central,Kelli Price,Sports,Cricket Bat,19,9490,0.25,180310,135232.5,10218.0,Debit Card,2
ORD000143,2025-02-17,Chloe Walters,India,Central,Jorge Smith,Groceries,Bread,17,4182,0.2,71094,56875.2,17423.68,Net Banking,4
ORD000144,2024-12-21,Maria Alvarado,Canada,North,Kristi Miller,Furniture,Sofa,18,813,0.28,14634,10536.48,919.09,UPI,3
ORD000145,2025-04-17,Nicole Brown,Canada,West,Lisa Jordan,Electronics,Keyboard,13,3189,0.08,41457,38140.44,10130.99,Debit Card,3
ORD000146,2024-02-12,Kevin Sweeney,UK,North,Chelsea Ellis,Electronics,Headphones,8,9330,0.11,74640,66429.6,14297.18,Cash,1
ORD000147,2024-09-09,Ashley Romero,Canada,North,Kathleen Colon,Furniture,Bed,17,1482,0.04,25194,24186.24,7625.42,UPI,1
ORD000148,2025-02-10,Robert Barnes,India,East,Jennifer Barry,Groceries,Oil,17,3991,0.03,67847,65811.59,17234.94,Credit Card,3
ORD000149,2025-01-23,Samantha Joseph,Australia,West,Melissa Ferguson,Furniture,Table,4,2157,0.17,8628,7161.24,1319.28,Net Banking,4
ORD000150,2024-02-18,Jessica Knight,Australia,Central,Gabrielle Mccullough,Furniture,Chair,19,9162,0.19,174078,141003.18,18252.13,Net Banking,4
ORD000151,2024-02-10,Danielle Peterson,Canada,Central,Chelsea Ellis,Sports,Dumbbells,20,7376,0.17,147520,122441.6,25984.29,Credit Card,2
ORD000152,2023-01-08,Daniel Jacobson,Australia,South,Kelsey Perez,Furniture,Table,19,1602,0.28,30438,21915.36,4780.7,UPI,2
ORD000153,2024-05-23,Ross Castillo,India,Central,Jessica Hodge,Sports,Yoga Mat,9,9490,0.14,85410,73452.6,6227.45,Debit Card,5
ORD000154,2023-06-21,Megan Haley,India,East,Summer Arias,Clothing,Jacket,2,1159,0.17,2318,1923.94,158.05,Credit Card,2
ORD000155,2024-02-27,Tonya Martinez,UK,West,Christina Becker,Clothing,Jacket,3,5367,0.09,16101,14651.91,2952.79,Debit Card,4
ORD000156,2025-08-09,David Watts,Canada,South,Paul Johnson,Groceries,Snacks,7,7636,0.26,53452,39554.48,7682.16,Credit Card,3
ORD000157,2025-06-04,Samantha Allen,Canada,South,Teresa Kirby,Furniture,Sofa,11,4483,0.17,49313,40929.79,5619.81,Credit Card,3
ORD000158,2025-05-26,Brandon Franklin,Canada,Central,Barbara Sheppard,Furniture,Wardrobe,15,1394,0.14,20910,17982.6,5268.19,Net Banking,2
ORD000159,2024-01-01,Lisa King,India,South,Teresa Kirby,Electronics,Keyboard,2,7647,0.07,15294,14223.42,4486.06,Net Banking,3
ORD000160,2023-05-15,Denise Payne,UK,North,Kelli Price,Groceries,Milk,4,3383,0.09,13532,12314.12,1028.51,UPI,3
ORD000161,2025-09-25,Casey White,Australia,North,Christina Becker,Electronics,Laptop,3,8462,0.26,25386,18785.64,5732.24,Debit Card,5
ORD000162,2024-08-18,James Smith,USA,East,Jessica Hodge,Electronics,Keyboard,6,559,0.29,3354,2381.34,199.68,Net Banking,2
ORD000163,2024-02-19,Shane Dunlap,USA,North,Michael Holland,Clothing,T-Shirt,19,1641,0.21,31179,24631.41,2892.4,Cash,2
ORD000164,2025-06-27,Pamela Chavez,Australia,South,Brittany Bailey,Electronics,Laptop,8,9074,0.16,72592,60977.28,15972.45,Cash,3
ORD000165,2023-01-31,Timothy Goodman,India,East,Kelsey Perez,Furniture,Chair,11,7859,0.12,86449,76075.12,24508.67,Credit Card,3
ORD000166,2023-09-22,Terri Brown,Australia,Central,Phillip Martin,Electronics,Keyboard,10,8804,0.15,88040,74834.0,21356.37,Cash,3
ORD000167,2024-08-14,James Ramirez,USA,Central,Susan Jones,Clothing,Jacket,4,9268,0.24,37072,28174.72,7828.15,Debit Card,2
ORD000168,2023-05-02,Kayla Rocha,Canada,East,Melissa Ferguson,Clothing,Jeans,20,7089,0.22,141780,110588.4,26041.01,Debit Card,1
ORD000169,2025-07-01,Elizabeth Mckay,UK,Central,Lauren Jones,Electronics,Laptop,15,5328,0.05,79920,75924.0,22119.93,Debit Card,1
ORD000170,2024-03-24,Christine Ayala,UK,South,Lisa Jordan,Groceries,Milk,15,8150,0.04,122250,117360.0,39582.51,UPI,3
ORD000171,2023-01-29,Frederick Harrison,USA,Central,Michael Holland,Sports,Football,10,2423,0.28,24230,17445.6,2021.05,UPI,5
ORD000172,2024-02-13,Ray Cunningham II,UK,East,Samantha Anderson,Electronics,Headphones,2,1262,0.14,2524,2170.64,586.95,UPI,1
ORD000173,2024-03-06,Fred Krueger,UK,East,Kathleen Colon,Groceries,Oil,17,5292,0.28,89964,64774.08,18369.65,Debit Card,3
ORD000174,2025-06-02,Kathryn Archer,India,Central,Kathleen Colon,Furniture,Wardrobe,7,3613,0.05,25291,24026.45,7797.08,UPI,1
ORD000175,2023-11-06,Kevin Adams,Canada,South,Sherry Young,Sports,Dumbbells,12,9940,0.0,119280,119280.0,35148.77,Credit Card,3
ORD000176,2023-10-11,Anthony Morris,Australia,South,Michael Holland,Electronics,Monitor,9,8124,0.21,73116,57761.64,12775.82,Net Banking,3
ORD000177,2023-04-27,George Brown,India,North,Cassandra Ferguson,Electronics,Mobile,10,804,0.14,8040,6914.4,1264.79,Credit Card,5
ORD000178,2023-03-05,Michelle Rivera,India,East,Lauren Jones,Electronics,Headphones,13,4794,0.13,62322,54220.14,5670.66,UPI,2
ORD000179,2025-01-14,Robert Jones,Canada,South,Chelsea Ellis,Clothing,Kurta,8,519,0.0,4152,4152.0,1215.09,Cash,1
ORD000180,2023-12-29,Cindy Bates,USA,West,Jessica Hodge,Groceries,Bread,17,9637,0.26,163829,121233.46,37874.75,Debit Card,4
ORD000181,2023-06-22,Michael Hughes,USA,North,Denise Hester,Groceries,Rice,6,3655,0.12,21930,19298.4,1282.42,Debit Card,1
ORD000182,2024-03-12,Andrew Hardin,USA,East,Susan Jones,Groceries,Milk,13,9148,0.21,118924,93949.96,14577.52,Net Banking,5
ORD000183,2023-06-12,Holly Chapman,USA,Central,Alexis Lee,Groceries,Milk,2,6755,0.21,13510,10672.9,3336.69,Debit Card,5
ORD000184,2024-10-26,Kenneth Wright,Canada,Central,Mitchell Boyer,Furniture,Table,13,3080,0.11,40040,35635.6,4339.65,Credit Card,2
ORD000185,2023-12-24,Katie Rice,Canada,Central,Barbara Sheppard,Electronics,Mobile,20,4308,0.24,86160,65481.6,17889.77,Net Banking,4
